case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,deviation_category,npoints,impact,significance,alpha_sig
Low sHDI - worse-off : Very high sHDI,3.402280054956926,1.3272592563976071,8.221621292433412,1.2244458112665568,0.2831161065749418,2.1067674271416386,Flood,0.010723686560419934,Low sHDI,worse-off,665,Likelihood fatalities,* ,1
Medium sHDI - better-off : Very high sHDI,2.1318930316973415,0.9687863710152429,4.364183113072948,0.7570103322950638,-0.03171115474554984,1.4734310270064226,Flood,0.05094473778472266,Medium sHDI,better-off,635,Likelihood fatalities,.,0.2
Medium sHDI - nat-average : Very high sHDI,2.2183230093436594,1.171673622558302,4.258508470358817,0.7967515092283878,0.15843317332651377,1.4489189746445292,Flood,0.01582458030408851,Medium sHDI,nat-average,858,Likelihood fatalities,* ,1
Medium sHDI - worse-off : Very high sHDI,5.79763629848969,1.325246819040567,17.265507568496552,1.7574502997443646,0.28159872061167873,2.848710729106408,Flood,0.017911938920445607,Medium sHDI,worse-off,600,Likelihood fatalities,* ,1
High sHDI - better-off : Very high sHDI,0.6287193075731535,0.07693661663705785,7.009690953613723,-0.46407037375267496,-2.564773356668833,1.947293613571625,Landslide,0.6815258910599724,High sHDI,better-off,48,Likelihood fatalities,.,0.2
High sHDI - nat-average : Very high sHDI,0.46928683935788323,0.07849509719957488,4.972543726326324,-0.7565410997075546,-2.544719112200606,1.6039315253375577,Landslide,0.46838136782947426,High sHDI,nat-average,68,Likelihood fatalities,.,0.2
High sHDI - worse-off : Very high sHDI,0.8749262173175532,0.17122506793259523,9.272967530930181,-0.13361571924556567,-1.7647764011536404,2.22710345034859,Landslide,0.8941451890353531,High sHDI,worse-off,46,Likelihood fatalities,.,0.2
Low sHDI - better-off : Very high sHDI,0.5680274441500293,0.10871291599703221,5.955833050616321,-0.5655855442626779,-2.2190446694939983,1.78437108397496,Landslide,0.5756089455528293,Low sHDI,better-off,68,Likelihood fatalities,.,0.2
Low sHDI - nat-average : Very high sHDI,0.48356357003902145,0.11933711520466338,4.8385608465732775,-0.7265724938502587,-2.125802890092526,1.576617330763205,Landslide,0.4516768123633731,Low sHDI,nat-average,103,Likelihood fatalities,.,0.2
Low sHDI - worse-off : Very high sHDI,0.11106545801303824,0.0373594366895471,1.053954107545572,-2.197635539652321,-3.2871697436380827,0.05254890794311371,Landslide,0.01401538161104257,Low sHDI,worse-off,84,Likelihood fatalities,* ,1
Medium sHDI - better-off : Very high sHDI,0.19945592753738853,0.04767670200015074,2.005755169333821,-1.6121619816569996,-3.043312428077286,0.696020632905603,Landslide,0.09796895717193596,Medium sHDI,better-off,91,Likelihood fatalities,.,0.2
Medium sHDI - nat-average : Very high sHDI,0.21409611169541845,0.06216840062489122,2.0571945963429616,-1.5413302447124693,-2.7779084368659506,0.7213432082104114,Landslide,0.09857906556347368,Medium sHDI,nat-average,140,Likelihood fatalities,.,0.2
Medium sHDI - worse-off : Very high sHDI,0.37343126357406364,0.10442940395947413,3.5390366024051336,-0.985021324614371,-2.259243996067304,1.2638545438939432,Landslide,0.2925113961961022,Medium sHDI,worse-off,102,Likelihood fatalities,.,0.2
High sHDI - better-off : Very high sHDI,0.3645133019353317,0.15866120608918516,0.8467986131077535,-1.0091922345495572,-1.8409841294153455,-0.16629237752655482,Storm,0.018337561197592427,High sHDI,better-off,631,Likelihood fatalities,* ,1
High sHDI - nat-average : Very high sHDI,0.3424180931775104,0.17468799599524473,0.7724264289381103,-1.0717227938866138,-1.7447537763079783,-0.2582185123661958,Storm,0.004016489999353154,High sHDI,nat-average,690,Likelihood fatalities, ** ,1
High sHDI - worse-off : Very high sHDI,1.5653731689718258,0.41621551728702477,4.5701071516298235,0.44812424219560254,-0.8765520824715108,1.5195366513773747,Storm,0.4742503743103557,High sHDI,worse-off,552,Likelihood fatalities,.,0.2
Low sHDI - better-off : Very high sHDI,2.739142636211994,1.3389357085854507,6.160395596784235,1.0076449649425547,0.29187505105701245,1.818140995740577,Storm,0.008730362195948619,Low sHDI,better-off,606,Likelihood fatalities, ** ,1
Low sHDI - nat-average : Very high sHDI,12.720019629519763,1.2026965845445272,39.435363952552535,2.5431771011120246,0.18456618950710998,3.674662975983289,Storm,0.004408671077898126,Low sHDI,nat-average,698,Likelihood fatalities, ** ,1
Low sHDI - worse-off : Very high sHDI,4.964165581495911,1.963349044429627,12.4610265961494,1.6022452232517819,0.6746517112195446,2.5226059013095803,Storm,5.41514107207303e-4,Low sHDI,worse-off,631,Likelihood fatalities, *** ,1
